"b","unit","day","dentadult","dentinf"
12,"u3",47,17,1
12,"u3",52,25,6
12,"u4",7,13,0
12,"u4",12,7,1
12,"u4",17,34,1
12,"u4",22,86,0
12,"u4",27,150,7
12,"u4",32,324,60
12,"u4",37,89,56
12,"u4",42,35,14
12,"u4",47,10,5
12,"u4",52,10,0
12,"u5",7,9,0
12,"u5",12,19,1
12,"u5",17,24,1
12,"u5",22,177,0
12,"u5",27,274,11
12,"u5",32,195,0
12,"u5",37,150,15
12,"u5",42,85,57
12,"u5",47,46,247
12,"u5",52,27,6
12,"u6",7,2,0
12,"u6",12,8,0
12,"u6",17,26,0
12,"u6",22,53,0
12,"u6",27,116,0
12,"u6",32,139,0
12,"u6",37,142,6
12,"u6",42,132,36
12,"u6",47,32,118
12,"u6",52,15,72
12,"u7",7,10,0
12,"u7",12,17,0
12,"u7",17,17,0
12,"u7",22,41,0
12,"u7",27,251,1
12,"u7",32,200,12
12,"u7",37,103,21
12,"u7",42,30,40
12,"u7",47,23,33
12,"u7",52,15,0
12,"u8",7,1,0
12,"u8",12,25,0
12,"u8",17,59,0
12,"u8",22,131,0
12,"u8",27,85,21
12,"u8",32,58,104
12,"u8",37,19,9
12,"u8",42,22,2
12,"u8",47,23,0
12,"u8",52,29,2
13,"u1",7,1,0
13,"u1",12,23,0
13,"u1",17,83,0
13,"u1",22,170,0
13,"u1",27,350,27
13,"u1",32,232,7
13,"u1",37,42,102
13,"u1",42,7,174
13,"u1",47,1,4
13,"u1",52,2,0
13,"u2",7,9,0
13,"u2",12,18,0
13,"u2",17,60,0
13,"u2",22,143,3
13,"u2",27,137,2
13,"u2",32,105,19
13,"u2",37,93,49
13,"u2",42,15,2
13,"u2",47,6,6
13,"u2",52,6,1
13,"u3",7,4,0
13,"u3",12,23,1
13,"u3",17,68,0
13,"u3",22,86,6
13,"u3",27,200,19
13,"u3",32,86,13
13,"u3",37,38,5
13,"u3",42,20,0
13,"u3",47,15,3
13,"u3",52,1,4
13,"u4",7,6,0
13,"u4",12,45,1
13,"u4",17,94,1
13,"u4",22,134,68
13,"u4",27,77,9
13,"u4",32,28,24
13,"u4",37,34,4
13,"u4",42,20,33
13,"u4",47,18,1
13,"u4",52,21,3
13,"u5",7,9,0
13,"u5",12,21,0
13,"u5",17,41,0
13,"u5",22,125,0
13,"u5",27,150,2
