"b","unit","day","dentadult","lumadult"
10,"u4",52,77,0
10,"u5",7,2,0
10,"u5",12,18,4
10,"u5",17,96,8
10,"u5",22,99,11
10,"u5",27,57,35
10,"u5",32,18,6
10,"u5",37,28,11
10,"u5",42,21,9
10,"u5",47,24,26
10,"u5",52,17,12
10,"u6",7,1,7
10,"u6",12,9,4
10,"u6",17,5,7
10,"u6",22,12,23
10,"u6",27,41,2
10,"u6",32,166,7
10,"u6",37,97,14
10,"u6",42,14,15
10,"u6",47,20,3
10,"u6",52,31,1
10,"u7",7,2,4
10,"u7",12,13,1
10,"u7",17,41,1
10,"u7",22,88,34
10,"u7",27,141,13
10,"u7",32,119,3
10,"u7",37,64,4
10,"u7",42,22,1
10,"u7",47,9,1
10,"u7",52,7,0
10,"u8",7,2,1
10,"u8",12,13,5
10,"u8",17,84,8
10,"u8",22,66,12
10,"u8",27,47,9
10,"u8",32,35,17
10,"u8",37,69,0
10,"u8",42,50,3
10,"u8",47,13,2
10,"u8",52,27,9
10,"u9",7,4,4
10,"u9",12,4,5
10,"u9",17,10,13
10,"u9",22,28,43
10,"u9",27,40,128
10,"u9",32,68,87
10,"u9",37,55,84
10,"u9",42,21,51
10,"u9",47,22,37
10,"u9",52,18,21
11,"u1",7,0,1
11,"u1",12,47,0
11,"u1",17,137,14
11,"u1",22,246,11
11,"u1",27,197,3
11,"u1",32,156,5
11,"u1",37,22,0
11,"u1",42,4,0
11,"u1",47,12,0
11,"u1",52,6,0
11,"u2",7,20,0
11,"u2",12,21,4
11,"u2",17,67,17
11,"u2",22,72,25
11,"u2",27,75,18
11,"u2",32,69,12
11,"u2",37,52,12
11,"u2",42,44,0
11,"u2",47,18,1
11,"u2",52,6,0
11,"u3",7,0,2
11,"u3",12,4,2
11,"u3",17,4,16
11,"u3",22,36,33
11,"u3",27,50,270
11,"u3",32,65,50
11,"u3",37,37,77
11,"u3",42,10,42
11,"u3",47,13,14
11,"u3",52,10,7
11,"u4",7,4,0
11,"u4",12,13,4
11,"u4",17,43,1
11,"u4",22,69,5
11,"u4",27,146,16
11,"u4",32,89,1
11,"u4",37,40,0
11,"u4",42,5,0
11,"u4",47,9,1
11,"u4",52,18,0
11,"u5",7,5,3
11,"u5",12,11,3
11,"u5",17,23,12
11,"u5",22,66,38
11,"u5",27,151,91
11,"u5",32,92,13
11,"u5",37,53,21
11,"u5",42,12,4
11,"u5",47,2,0
11,"u5",52,3,2
11,"u6",7,7,3
11,"u6",12,6,9
11,"u6",17,8,12
11,"u6",22,77,24
11,"u6",27,334,42
11,"u6",32,162,12
11,"u6",37,274,10
11,"u6",42,79,0
11,"u6",47,16,0
11,"u6",52,3,1
11,"u7",7,3,1
11,"u7",12,4,0
11,"u7",17,17,13
11,"u7",22,11,13
11,"u7",27,129,219
11,"u7",32,68,77
11,"u7",37,41,30
11,"u7",42,26,39
11,"u7",47,22,39
11,"u7",52,21,20
11,"u8",7,7,1
11,"u8",12,5,0
11,"u8",17,21,6
11,"u8",22,28,9
11,"u8",27,79,13
11,"u8",32,117,17
11,"u8",37,45,18
11,"u8",42,27,1
11,"u8",47,18,4
11,"u8",52,13,0
11,"u9",7,4,3
11,"u9",12,7,2
11,"u9",17,48,0
11,"u9",22,44,3
11,"u9",27,55,4
11,"u9",32,74,2
11,"u9",37,77,0
11,"u9",42,9,0
11,"u9",47,10,0
11,"u9",52,8,0
12,"u1",7,3,1
12,"u1",12,13,3
12,"u1",17,57,30
12,"u1",22,179,32
12,"u1",27,88,26
12,"u1",32,37,36
12,"u1",37,31,1
12,"u1",42,10,6
12,"u1",47,9,2
12,"u1",52,5,3
12,"u2",7,3,1
12,"u2",12,12,0
12,"u2",17,8,12
12,"u2",22,15,2
12,"u2",27,16,6
12,"u2",32,8,22
12,"u2",37,20,14
12,"u2",42,39,32
12,"u2",47,43,35
12,"u2",52,44,81
12,"u3",7,1,2
12,"u3",12,1,13
12,"u3",17,4,22
12,"u3",22,24,47
12,"u3",27,120,122
12,"u3",32,61,51
12,"u3",37,33,28
12,"u3",42,26,28
12,"u3",47,13,6
12,"u3",52,6,2
12,"u4",7,2,1
12,"u4",12,1,0
12,"u4",17,18,13
12,"u4",22,40,9
