"b","unit","day","dentadult"
13,"u6",42,211
13,"u6",47,128
13,"u6",52,30
13,"u7",7,1
13,"u7",12,7
13,"u7",17,11
13,"u7",22,24
13,"u7",27,68
13,"u7",32,65
13,"u7",37,309
13,"u7",42,101
13,"u7",47,112
13,"u7",52,73
13,"u8",7,4
13,"u8",12,7
13,"u8",17,82
13,"u8",22,112
13,"u8",27,83
13,"u8",32,274
13,"u8",37,166
13,"u8",42,186
13,"u8",47,131
13,"u8",52,86
13,"u9",7,4
13,"u9",12,18
13,"u9",17,199
13,"u9",22,345
13,"u9",27,631
13,"u9",32,432
13,"u9",37,142
13,"u9",42,63
13,"u9",47,55
13,"u9",52,110
13,"u10",7,1
13,"u10",12,10
13,"u10",17,54
13,"u10",22,168
13,"u10",27,289
13,"u10",32,380
13,"u10",37,108
13,"u10",42,81
13,"u10",47,141
13,"u10",52,106
14,"u1",7,4
14,"u1",12,7
14,"u1",17,35
14,"u1",22,75
14,"u1",27,218
14,"u1",32,267
14,"u1",37,82
14,"u1",42,39
14,"u1",47,56
14,"u1",52,67
14,"u2",7,2
14,"u2",12,14
14,"u2",17,56
14,"u2",22,86
14,"u2",27,97
14,"u2",32,208
14,"u2",37,96
14,"u2",42,51
14,"u2",47,44
14,"u2",52,38
14,"u3",7,2
14,"u3",12,9
14,"u3",17,34
14,"u3",22,131
14,"u3",27,118
14,"u3",32,418
14,"u3",37,294
14,"u3",42,112
14,"u3",47,31
14,"u3",52,6
14,"u4",7,1
14,"u4",12,9
14,"u4",17,21
14,"u4",22,20
14,"u4",27,67
14,"u4",32,177
14,"u4",37,167
14,"u4",42,80
14,"u4",47,30
14,"u4",52,52
14,"u5",7,3
14,"u5",12,15
14,"u5",17,28
14,"u5",22,81
14,"u5",27,171
14,"u5",32,86
14,"u5",37,207
14,"u5",42,49
14,"u5",47,68
14,"u5",52,16
14,"u6",7,3
14,"u6",12,11
14,"u6",17,19
14,"u6",22,86
14,"u6",27,105
14,"u6",32,192
14,"u6",37,170
14,"u6",42,90
14,"u6",47,96
14,"u6",52,41
14,"u7",7,3
14,"u7",12,8
14,"u7",17,21
14,"u7",22,65
14,"u7",27,121
14,"u7",32,199
14,"u7",37,112
14,"u7",42,119
14,"u7",47,102
14,"u7",52,177
14,"u8",7,3
14,"u8",12,12
14,"u8",17,76
14,"u8",22,160
14,"u8",27,175
14,"u8",32,139
14,"u8",37,397
14,"u8",42,140
14,"u8",47,29
14,"u8",52,64
14,"u9",7,4
14,"u9",12,6
14,"u9",17,19
14,"u9",22,103
14,"u9",27,223
14,"u9",32,84
14,"u9",37,132
14,"u9",42,85
14,"u9",47,79
14,"u9",52,31
14,"u10",7,5
