"b","unit","day","dentadult","dentinf","lumadult","luminf"
8,"u8",7,5,0,1,0
8,"u8",12,3,0,4,0
8,"u8",17,9,0,9,1
8,"u8",22,6,0,21,0
8,"u8",27,12,0,10,0
8,"u8",32,35,15,18,8
8,"u8",37,13,3,22,0
8,"u8",42,3,0,6,4
8,"u8",47,2,0,7,3
8,"u8",52,0,1,3,0
9,"u1",7,1,0,0,0
9,"u1",12,8,0,6,0
9,"u1",17,14,0,5,0
9,"u1",22,35,0,3,0
9,"u1",27,16,4,20,3
9,"u1",32,74,4,17,3
9,"u1",37,49,20,13,2
9,"u1",42,13,6,12,6
9,"u1",47,26,1,1,0
9,"u1",52,11,1,2,0
9,"u2",7,1,0,2,0
9,"u2",12,2,0,4,0
9,"u2",17,12,0,6,0
9,"u2",22,20,0,14,0
9,"u2",27,53,0,10,1
9,"u2",32,45,16,20,3
9,"u2",37,49,3,33,10
9,"u2",42,68,7,13,15
9,"u2",47,15,13,10,3
9,"u2",52,45,5,15,8
9,"u3",7,4,0,3,0
9,"u3",12,7,2,4,0
9,"u3",17,26,2,15,1
9,"u3",22,57,5,26,1
9,"u3",27,59,7,34,2
9,"u3",32,33,10,13,18
9,"u3",37,72,49,5,0
9,"u3",42,76,6,5,0
9,"u3",47,19,6,2,1
9,"u3",52,15,3,4,2
9,"u4",7,3,0,6,0
9,"u4",12,13,0,4,0
9,"u4",17,49,2,16,0
9,"u4",22,137,2,13,4
9,"u4",27,172,27,6,7
9,"u4",32,35,3,9,4
9,"u4",37,14,36,9,4
9,"u4",42,2,2,4,26
9,"u4",47,0,2,4,2
9,"u4",52,0,0,2,1
9,"u5",7,7,0,2,0
9,"u5",12,27,1,5,0
9,"u5",17,76,2,39,0
9,"u5",22,138,3,30,0
9,"u5",27,27,16,20,16
9,"u5",32,30,28,7,7
9,"u5",37,40,19,3,0
9,"u5",42,15,1,3,1
9,"u5",47,41,1,1,0
9,"u5",52,31,2,0,2
9,"u6",7,2,0,5,0
9,"u6",12,29,0,2,0
9,"u6",17,26,0,15,1
9,"u6",22,100,0,35,1
9,"u6",27,44,13,46,6
9,"u6",32,48,6,41,12
9,"u6",37,19,5,19,9
9,"u6",42,4,1,13,7
9,"u6",47,1,10,4,11
9,"u6",52,5,0,0,1
9,"u7",7,4,0,0,0
9,"u7",12,11,0,10,0
9,"u7",17,57,0,13,0
9,"u7",22,122,3,28,3
9,"u7",27,33,34,4,3
9,"u7",32,6,5,5,8
9,"u7",37,0,1,2,0
9,"u7",42,2,1,2,1
9,"u7",47,1,0,0,2
9,"u7",52,0,0,2,0
9,"u8",7,11,0,5,0
9,"u8",12,11,0,6,0
9,"u8",17,36,0,9,1
9,"u8",22,25,0,9,0
9,"u8",27,46,0,15,3
9,"u8",32,33,0,23,3
9,"u8",37,25,1,17,7
9,"u8",42,6,0,2,3
9,"u8",47,4,1,4,4
9,"u8",52,0,1,0,0
10,"u1",7,4,0,4,0
10,"u1",12,10,0,4,0
10,"u1",17,12,3,3,1
10,"u1",22,19,1,4,0
10,"u1",27,76,2,16,14
10,"u1",32,30,1,11,4
10,"u1",37,9,10,10,9
10,"u1",42,21,8,2,1
10,"u1",47,6,1,5,4
10,"u1",52,5,5,2,0
10,"u2",7,3,0,4,0
10,"u2",12,28,0,4,1
10,"u2",17,13,2,2,0
10,"u2",22,28,5,25,2
10,"u2",27,30,2,17,6
10,"u2",32,4,47,4,7
